,Unnamed: 0,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
381252,11,12,3,13,21500492,Valanciunas Free Throw 2 of 2 (4 PTS),,10:33,1,4.0,0,0,202685,Jonas Valanciunas,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,4 - 4,TIE,,7:43 PM
381253,12,1,2,16,21500492,,,10:20,1,5.0,0,0,201587,Nicolas Batum,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Batum 18' Jump Shot,7:44 PM
381254,13,0,4,17,21500492,Scola REBOUND (Off:0 Def:1),,10:18,1,4.0,0,0,2449,Luis Scola,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,7:44 PM
381255,14,102,2,18,21500492,MISS DeRozan 5' Driving Floating Bank Jump Shot,,9:56,1,4.0,0,0,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,7:44 PM
381256,15,0,4,19,21500492,Scola REBOUND (Off:1 Def:1),,9:55,1,4.0,0,0,2449,Luis Scola,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,7:44 PM
381257,16,97,2,20,21500492,MISS Scola 2' Tip Layup Shot,,9:53,1,4.0,0,0,2449,Luis Scola,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,7:44 PM
381258,17,0,4,21,21500492,Scola REBOUND (Off:2 Def:1),,9:52,1,4.0,0,0,2449,Luis Scola,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,7:44 PM
381259,18,72,2,22,21500492,MISS Scola 2' Putback Layup,,9:50,1,4.0,0,5,2449,Luis Scola,TOR,Toronto,1610612761.0,Raptors,0,,,,,,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,,,Williams BLOCK (1 BLK),7:44 PM
381260,19,0,4,23,21500492,,,9:49,1,5.0,0,0,203469,Cody Zeller,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,Zeller REBOUND (Off:0 Def:1),7:44 PM
381261,20,100,1,24,21500492,,,9:45,1,5.0,5,0,203469,Cody Zeller,CHA,Charlotte,1610612766.0,Hornets,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,6 - 4,-2,Zeller 1' Running Alley Oop Layup Shot (4 PTS) (Walker 1 AST),7:44 PM
381262,21,1,5,25,21500492,DeRozan Bad Pass Turnover (P1.T1),,9:33,1,4.0,5,0,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,202689,Kemba Walker,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,Walker STEAL (1 STL),7:44 PM
381263,22,41,2,26,21500492,,,9:27,1,5.0,0,0,203469,Cody Zeller,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,MISS Zeller 2' Running Layup,7:44 PM
