,Unnamed: 0,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
381631,390,0,8,474,21500492,,,6:14,4,5.0,5,0,203148,Brian Roberts,CHA,Charlotte,1610612766.0,Hornets,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,SUB: Williams FOR Roberts,9:31 PM
381632,391,29,6,475,21500492,Biyombo Shooting Block Foul (P1.T3) (S.Corbin),,5:56,4,4.0,5,1,202687,Bismack Biyombo,TOR,Toronto,1610612761.0,Raptors,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,,,,9:32 PM
381633,392,4,9,476,21500492,,,5:56,4,1.0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,9:32 PM
381634,393,0,8,479,21500492,SUB: DeRozan FOR Joseph,,5:56,4,4.0,4,0,202709,Cory Joseph,TOR,Toronto,1610612761.0,Raptors,201942,DeMar DeRozan,TOR,Toronto,1610612761.0,Raptors,0,,,,,,,,,9:34 PM
381635,394,11,3,480,21500492,,,5:56,4,5.0,0,0,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,87 - 92,5,Williams Free Throw 1 of 2 (10 PTS),9:34 PM
381636,395,12,3,482,21500492,,,5:56,4,5.0,0,0,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,88 - 92,4,Williams Free Throw 2 of 2 (11 PTS),9:35 PM
381637,396,49,1,485,21500492,Ross  Driving Dunk (8 PTS) (Lowry 10 AST),,5:44,4,4.0,4,0,203082,Terrence Ross,TOR,Toronto,1610612761.0,Raptors,200768,Kyle Lowry,TOR,Toronto,1610612761.0,Raptors,0,,,,,,88 - 94,6,,9:35 PM
381638,397,1,1,486,21500492,,,5:15,4,5.0,5,0,101107,Marvin Williams,CHA,Charlotte,1610612766.0,Hornets,201587,Nicolas Batum,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,91 - 94,3,Williams 25' 3PT Jump Shot (14 PTS) (Batum 6 AST),9:36 PM
381639,398,1,2,487,21500492,MISS Ross 24' 3PT Jump Shot,,4:54,4,4.0,0,0,203082,Terrence Ross,TOR,Toronto,1610612761.0,Raptors,0,,,,,,0,,,,,,,,,9:36 PM
381640,399,0,4,488,21500492,,,4:54,4,5.0,0,0,201587,Nicolas Batum,CHA,Charlotte,1610612766.0,Hornets,0,,,,,,0,,,,,,,,Batum REBOUND (Off:0 Def:3),9:36 PM
